inventory_id,product_id,stock_quantity,last_restock
1,1,542,2025-09-12
2,2,968,2025-09-12
3,3,53,2025-09-12
4,4,411,2025-09-12
5,5,759,2025-09-12
6,6,696,2025-09-12
7,7,402,2025-09-12
8,8,182,2025-09-12
9,9,698,2025-09-12
10,10,680,2025-09-12
11,11,279,2025-09-12
12,12,515,2025-09-12
13,13,164,2025-09-12
14,14,647,2025-09-12
15,15,264,2025-09-12
16,16,652,2025-09-12
17,17,170,2025-09-12
18,18,432,2025-09-12
19,19,335,2025-09-12
20,20,837,2025-09-12
21,21,145,2025-09-12
22,22,226,2025-09-12
23,23,974,2025-09-12
24,24,386,2025-09-12
25,25,59,2025-09-12
26,26,911,2025-09-12
27,27,881,2025-09-12
28,28,951,2025-09-12
29,29,620,2025-09-12
30,30,214,2025-09-12
31,31,955,2025-09-12
32,32,814,2025-09-12
33,33,403,2025-09-12
34,34,939,2025-09-12
35,35,633,2025-09-12
36,36,397,2025-09-12
37,37,957,2025-09-12
38,38,895,2025-09-12
39,39,171,2025-09-12
40,40,377,2025-09-12
41,41,36,2025-09-12
42,42,20,2025-09-12
43,43,775,2025-09-12
44,44,269,2025-09-12
45,45,382,2025-09-12
46,46,468,2025-09-12
47,47,629,2025-09-12
48,48,249,2025-09-12
49,49,644,2025-09-12
50,50,515,2025-09-12
51,51,545,2025-09-12
52,52,924,2025-09-12
53,53,763,2025-09-12
54,54,715,2025-09-12
55,55,325,2025-09-12
56,56,495,2025-09-12
57,57,150,2025-09-12
58,58,15,2025-09-12
59,59,40,2025-09-12
60,60,225,2025-09-12
61,61,904,2025-09-12
62,62,51,2025-09-12
63,63,194,2025-09-12
64,64,644,2025-09-12
65,65,246,2025-09-12
66,66,967,2025-09-12
67,67,849,2025-09-12
68,68,310,2025-09-12
69,69,346,2025-09-12
70,70,790,2025-09-12
71,71,633,2025-09-12
72,72,401,2025-09-12
73,73,484,2025-09-12
74,74,182,2025-09-12
75,75,900,2025-09-12
76,76,834,2025-09-12
77,77,432,2025-09-12
78,78,462,2025-09-12
79,79,667,2025-09-12
80,80,627,2025-09-12
81,81,820,2025-09-12
82,82,412,2025-09-12
83,83,49,2025-09-12
84,84,675,2025-09-12
85,85,156,2025-09-12
86,86,681,2025-09-12
87,87,510,2025-09-12
88,88,481,2025-09-12
89,89,7,2025-09-12
90,90,186,2025-09-12
91,91,791,2025-09-12
92,92,760,2025-09-12
93,93,934,2025-09-12
94,94,135,2025-09-12
95,95,120,2025-09-12
96,96,292,2025-09-12
97,97,995,2025-09-12
98,98,575,2025-09-12
99,99,733,2025-09-12
100,100,546,2025-09-12
101,101,646,2025-09-12
102,102,68,2025-09-12
103,103,15,2025-09-12
104,104,300,2025-09-12
105,105,864,2025-09-12
106,106,220,2025-09-12
107,107,24,2025-09-12
108,108,299,2025-09-12
109,109,975,2025-09-12
110,110,62,2025-09-12
111,111,757,2025-09-12
112,112,247,2025-09-12
113,113,713,2025-09-12
114,114,477,2025-09-12
115,115,995,2025-09-12
116,116,661,2025-09-12
117,117,177,2025-09-12
118,118,969,2025-09-12
119,119,71,2025-09-12
120,120,353,2025-09-12
121,121,290,2025-09-12
122,122,460,2025-09-12
