order_id,customer_id,order_date,total_amount
1,22073,2024-04-06,710.61
2,43986,2024-05-06,1450.39
3,1913,2024-09-14,4374.05
4,11096,2024-05-04,52.23
5,41630,2024-06-26,3726.15
6,25448,2024-09-06,3805.46
7,28255,2024-01-21,479.45
8,42867,2025-03-12,2700.09
9,17640,2025-04-21,932.79
10,39144,2025-07-18,3908.63
11,40331,2025-06-07,1908.07
12,7365,2024-07-29,4502.77
13,37518,2025-07-17,1003.51
14,15416,2025-05-29,4138.11
15,42067,2024-05-19,2593.34
16,45288,2024-04-13,501.97
17,12953,2024-10-28,1645.24
18,4400,2024-05-02,4532.65
19,44432,2024-06-02,2207.33
20,4554,2025-07-26,2232.13
21,7305,2024-02-16,858.05
22,33653,2024-09-07,3785.83
23,30890,2025-02-27,2648.11
24,7664,2025-03-10,4209.8
25,31140,2025-07-14,2918.84
26,45490,2024-12-25,297.41
27,49705,2025-01-03,1589.14
28,8523,2024-08-16,59.62
29,46241,2024-10-02,1655.04
30,6602,2025-01-11,2055.8
31,28391,2025-03-08,3322.52
32,49602,2023-11-15,4241.22
33,40174,2024-01-18,4649.08
34,7675,2024-06-14,2737.92
35,44475,2025-03-31,4847.83
36,25836,2024-12-17,1694.88
37,39222,2025-07-25,604.35
38,4320,2024-01-11,823.19
39,34979,2024-10-07,3580.77
40,9425,2025-06-26,2589.43
41,2371,2023-12-02,3609.19
42,5909,2024-07-11,248.6
43,11508,2025-05-06,4199.7
44,3439,2024-01-19,738.73
45,1071,2024-04-08,1458.9
46,25090,2024-09-27,1684.22
47,27807,2025-06-18,3964.96
48,34472,2024-05-10,1130.87
49,39233,2023-10-08,1893.42
50,25802,2025-01-30,1507.32
51,31829,2024-04-30,2466.35
52,18807,2023-12-02,4629.02
53,35830,2025-04-20,2483.68
54,3150,2025-01-08,1807.49
55,25662,2024-10-30,674.25
56,46392,2024-03-04,579.53
57,8978,2025-04-11,2904.06
58,35479,2025-09-02,1611.78
59,33242,2024-08-14,1293.8
60,3855,2024-03-19,2667.09
61,15371,2024-02-03,4441.05
62,49395,2024-10-18,4830.48
63,5878,2025-02-08,2436.71
64,38838,2024-09-05,2110.57
65,29091,2024-07-16,3153.84
66,22456,2025-08-20,4675.07
67,32765,2023-10-05,3646.7
68,6512,2025-03-07,1647.91
69,48388,2023-09-14,2589.89
70,4524,2023-12-25,620.95
71,27470,2024-04-09,3639.11
72,38664,2023-09-26,1739.7
73,21491,2025-04-04,262.23
74,23695,2024-06-25,766.55
75,22939,2025-08-19,1197.21
76,32751,2025-04-13,2254.19
77,24086,2024-01-01,1570.12
78,2630,2024-10-28,1934.16
79,37171,2025-05-04,1588.54
80,12991,2025-03-19,3275.5
81,27537,2025-03-01,1161.74
82,10674,2025-03-27,496.08
83,16352,2024-07-06,557.0
84,3592,2025-08-03,2550.29
85,13938,2023-10-15,2156.79
86,42973,2024-08-21,3663.92
87,33171,2024-01-24,64.61
88,15790,2023-10-24,4316.72
89,43400,2025-05-19,1684.6
90,19126,2024-10-06,3290.09
91,595,2025-03-03,1581.15
92,11483,2025-04-23,3475.59
93,27284,2025-03-04,1480.35
94,44653,2024-09-21,4959.75
