payment_id,order_id,payment_method,payment_date,amount
1,24335,UPI,2024-09-26,2795.09
2,91542,Bank Transfer,2025-07-04,3264.44
3,62985,UPI,2025-05-25,3996.21
4,48244,UPI,2024-07-02,2103.08
5,95397,Debit Card,2024-01-07,2382.25
6,22363,Credit Card,2024-06-12,2025.76
7,75640,Cash,2024-05-19,3657.24
8,83979,Bank Transfer,2025-07-05,2792.43
9,4144,Cash,2024-08-29,4113.98
10,30169,Bank Transfer,2025-07-14,4886.87
11,42700,Debit Card,2024-05-21,71.29
12,87251,Bank Transfer,2024-03-29,4217.78
13,26637,Cash,2024-02-05,703.4
14,56358,Credit Card,2025-08-27,2202.81
15,90675,UPI,2024-07-21,3905.98
16,75318,Cash,2025-07-17,3457.36
17,95983,Debit Card,2025-05-15,1769.55
18,38523,Credit Card,2024-12-16,96.94
19,20344,Cash,2025-09-03,2908.3
20,40119,Debit Card,2024-05-25,1779.9
21,14411,UPI,2024-09-22,4715.76
22,49983,Bank Transfer,2024-11-12,196.4
23,72632,Credit Card,2025-08-18,2487.72
24,66020,UPI,2024-09-12,4513.5
25,82924,Bank Transfer,2024-05-26,4374.16
26,29927,UPI,2023-10-18,1526.13
27,68375,Bank Transfer,2025-07-04,4817.41
28,7817,Debit Card,2024-08-23,2400.34
29,9648,Bank Transfer,2024-11-27,4896.99
30,41993,Credit Card,2025-04-11,1056.27
31,34356,UPI,2025-01-16,4827.27
32,79630,Cash,2025-01-19,1196.62
33,5744,Cash,2025-07-19,1967.62
34,55910,Bank Transfer,2024-11-29,4807.66
35,27823,Bank Transfer,2024-12-17,4798.78
36,45404,Cash,2024-12-26,2323.54
37,35374,Debit Card,2024-08-28,4719.33
38,17661,Credit Card,2024-11-11,638.66
39,6037,UPI,2025-09-12,209.79
40,30961,UPI,2025-04-18,2500.66
41,28600,Cash,2025-06-27,2106.89
42,89133,Debit Card,2025-07-12,4298.67
43,57142,Cash,2024-04-29,352.13
44,96611,Credit Card,2023-10-08,287.3
45,20997,UPI,2025-04-12,1558.2
46,27829,Cash,2024-02-29,3911.31
47,32036,Debit Card,2024-04-21,3949.22
48,54451,Credit Card,2024-01-19,356.99
49,45050,UPI,2025-01-23,3651.98
50,97877,UPI,2023-11-21,3788.82
51,93207,Cash,2024-03-30,1674.53
52,57637,Cash,2025-03-28,2879.5
53,94415,UPI,2024-07-14,4573.02
54,51738,Credit Card,2024-03-21,3644.72
55,21412,Debit Card,2025-02-02,4253.92
56,89318,UPI,2024-03-10,1287.15
57,86272,UPI,2024-01-28,3632.37
58,82854,Bank Transfer,2024-03-21,4954.15
59,73172,Bank Transfer,2024-02-27,4434.27
60,84964,Debit Card,2025-01-11,3924.68
61,77671,Debit Card,2025-08-25,4800.89
62,44396,Credit Card,2023-12-24,606.86
63,85986,UPI,2023-11-05,2186.63
64,62572,Credit Card,2023-11-26,1842.54
65,24178,Credit Card,2024-10-25,4638.39
66,5926,Debit Card,2024-06-24,3279.16
67,17999,Credit Card,2025-08-03,264.31
68,16708,UPI,2024-02-28,604.0
69,24082,Cash,2024-09-20,855.7
70,76132,Cash,2024-02-27,1670.77
71,66268,Credit Card,2025-01-19,1411.44
72,15198,UPI,2025-05-08,2913.69
73,41570,UPI,2025-01-31,2072.23
74,36895,Credit Card,2024-06-11,1301.5
75,87736,Cash,2024-12-13,4709.24
76,28113,UPI,2024-11-01,2403.6
77,43139,Cash,2025-09-06,3783.71
78,40588,Debit Card,2023-12-08,4248.03
79,66012,UPI,2025-05-03,2155.66
80,73586,Cash,2023-10-25,3267.61
81,22503,Credit Card,2024-05-08,4016.34
82,60503,Credit Card,2025-04-09,2028.88
83,38463,Bank Transfer,2024-01-28,2787.51
84,66691,Debit Card,2024-04-30,3121.63
85,45510,UPI,2024-06-15,3928.21
86,11998,Debit Card,2025-06-19,4044.2
87,6072,Credit Card,2024-03-13,4555.64
88,47115,Bank Transfer,2025-03-06,4338.36
89,85497,Bank Transfer,2023-11-28,1603.38
90,78029,UPI,2024-02-14,3272.81
91,57207,Credit Card,2024-11-16,1309.06
92,26903,Credit Card,2025-05-04,2291.81
93,5181,UPI,2024-08-20,4854.47
94,66473,Debit Card,2023-10-11,2941.56
95,71074,Cash,2024-03-22,1410.97
96,71071,Debit Card,2025-02-13,4107.79
97,50772,Cash,2025-08-14,101.51
98,59851,Debit Card,2024-11-20,759.47
99,79809,Cash,2025-01-15,1629.75
100,14169,Bank Transfer,2025-03-26,616.33
